Estado,Pais,CasosConfirmados,Mortes
,Afghanistan,158084,7356
,Albania,210224,3217
,Algeria,218432,6276
,Andorra,23740,140
,Angola,81593,1770
,Antigua and Barbuda,4283,119
,Argentina,5654408,117169
,Armenia,344930,7972
Australian Capital Territory,Australia,4010,15
New South Wales,Australia,187504,663
Northern Territory,Australia,572,1
Queensland,Australia,13863,7
South Australia,Australia,11078,6
Tasmania,Australia,785,13
Victoria,Australia,183976,1534
Western Australia,Australia,1161,9
,Austria,1278619,13733
,Azerbaijan,616947,8358
,Bahamas,24476,717
,Bahrain,282062,1394
,Bangladesh,1585539,28072
,Barbados,28565,260
,Belarus,699110,5578
Antwerp,Belgium,303202,0
Brussels,Belgium,249566,0
East Flanders,Belgium,260967,0
Flemish Brabant,Belgium,184728,0
Hainaut,Belgium,252893,0
Liege,Belgium,226576,0
Limburg,Belgium,139220,0
Luxembourg,Belgium,56074,0
Namur,Belgium,100334,0
Unknown,Belgium,34742,28331
Walloon Brabant,Belgium,81063,0
West Flanders,Belgium,215978,0
,Belize,32840,602
,Benin,24935,161
,Bhutan,2660,3
,Bolivia,599753,19680
,Bosnia and Herzegovina,291313,13442
,Botswana,219509,2444
Acre,Brazil,88384,1851
Alagoas,Brazil,242080,6383
Amapa,Brazil,126981,2022
Amazonas,Brazil,433813,13835
Bahia,Brazil,1270858,27506
Ceara,Brazil,956325,24806
Distrito Federal,Brazil,519811,11108
Espirito Santo,Brazil,629872,13328
Goias,Brazil,947898,24695
Maranhao,Brazil,370645,10377
Mato Grosso,Brazil,557888,14056
Mato Grosso do Sul,Brazil,380405,9729
Minas Gerais,Brazil,2223985,56659
Para,Brazil,625518,17091
Paraiba,Brazil,464335,9596
Parana,Brazil,1598302,40889
Pernambuco,Brazil,645681,20447
Piaui,Brazil,334472,7275
Rio Grande do Norte,Brazil,387202,7571
Rio Grande do Sul,Brazil,1507117,36444
Rio de Janeiro,Brazil,1352824,69467
Rondonia,Brazil,284626,6734
Roraima,Brazil,129086,2078
Santa Catarina,Brazil,1243535,20186
Sao Paulo,Brazil,4456108,155205
Sergipe,Brazil,278530,6057
Tocantins,Brazil,235558,3939
,Brunei,15470,98
,Bulgaria,747108,30955
,Burkina Faso,17632,318
,Burma,530834,19268
,Burundi,27366,38
,Cabo Verde,41732,352
,Cambodia,120493,3012
,Cameroon,109367,1851
Alberta,Canada,361623,3310
British Columbia,Canada,254849,2423
Diamond Princess,Canada,0,1
Grand Princess,Canada,13,0
Manitoba,Canada,80096,1392
New Brunswick,Canada,14272,160
Newfoundland and Labrador,Canada,3724,18
Northwest Territories,Canada,2229,12
Nova Scotia,Canada,17745,111
Nunavut,Canada,803,4
Ontario,Canada,773645,10252
Prince Edward Island,Canada,1022,0
Quebec,Canada,603067,11724
Repatriated Travellers,Canada,13,0
Saskatchewan,Canada,85188,955
Yukon,Canada,1755,15
,Central African Republic,12163,101
,Chad,5703,181
Antofagasta,Chile,66965,1286
